method,seed,episode,average_rate,outage_prob,beam_success_rate,average_return,planning_latency_ms,sweep,sweep_name,scenario,scenario_order,scenario_value,sweep_value,num_blockers_min,num_blockers_max,blocker_speed,blocker_speed_scale,obs_noise_std,obs_angle_noise_los,obs_angle_noise_nlos,obs_power_noise_std,obs_blockage_noise_std,obs_reflection_noise_std,reflector_loss_db,reflection_gain_scale
Reactive,0,0,5.423865574208009,0.035,0.81,5.31561557420801,0.002721404889598489,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,0,1,4.6924666244903825,0.075,0.82,4.5034666244903825,0.002636460030771559,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,0,2,6.343223403414684,0.02,0.775,6.2499734034146845,0.002604125111247413,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,0,3,4.99380499520522,0.1,0.71,4.734554995205219,0.002916730190918315,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,1,0,5.27796428167023,0.095,0.755,5.04146428167023,0.002756030207820004,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,1,1,5.082597330441575,0.08,0.73,4.875347330441574,0.0026347800485382322,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,1,2,5.111619751294423,0.095,0.7,4.874369751294425,0.0026721002177509945,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,1,3,5.402341195768611,0.075,0.74,5.202841195768612,0.0026237601741740946,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,2,0,5.925929598592479,0.065,0.81,5.752429598592479,0.002625794913910795,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,2,1,5.0545219779923265,0.07,0.77,4.867271977992327,0.00264146518020425,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,2,2,5.334149183012894,0.04,0.81,5.21139918301289,0.002596924841782311,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,2,3,4.36983397481108,0.13,0.76,4.059583974811082,0.0026223098575428594,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,3,0,5.470597146297334,0.07,0.79,5.284847146297339,0.0026521202198637184,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,3,1,4.871600558815667,0.105,0.79,4.609850558815665,0.0026431049809616525,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,3,2,5.312304082773485,0.065,0.72,5.1238040827734865,0.00269816495347186,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,3,3,5.208830149724329,0.09,0.76,4.970330149724327,0.0026337198687542696,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,4,0,5.3497319453296175,0.04,0.775,5.214981945329616,0.0028074999863747507,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,4,1,5.473439351948867,0.05,0.735,5.327689351948868,0.0030295650867628865,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,4,2,5.767774378058725,0.045,0.8,5.62827437805873,0.002678910004760837,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
Reactive,4,3,5.129533314979836,0.08,0.765,4.919283314979833,0.002656219912751112,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,0,0,4.99775940113666,0.01,0.905,4.97175940113666,0.26455353012352134,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,0,1,3.9407969206161026,0.005,0.925,3.921796920616103,0.2570852549979463,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,0,2,4.003801993299556,0.01,0.9,3.9725519932995557,0.25601398996514035,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,0,3,4.012483578010454,0.03,0.9,3.9404835780104537,0.2562311951260199,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,1,0,3.8597721437503343,0.015,0.935,3.8237721437503343,0.2554289801082632,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,1,1,3.5727229999473953,0.0,0.955,3.5682229999473947,0.2534168750389654,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,1,2,5.806039218362988,0.02,0.865,5.752539218362989,0.2536725249228766,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
OneStepPredictive,1,3,4.340530759229156,0.005,0.93,4.323030759229156,0.2561491549568018,blocker_density,blocker_density,Nb=0,0,0.0,0.0,0,0,0.55,1.0,,0.05,0.16,0.06,0.05,0.04,6.0,1.0
